snr,seed,method,classifier,accuracy,macro_f1,f1_point,f1_cyst,f1_dense,best_params
20,2,Raw RF,Random Forest,0.345,0.34057354589662125,0.3833718244803695,0.35764705882352943,0.2807017543859649,"{'max_depth': 20, 'n_estimators': 100}"
20,2,Raw RF,SVM-RBF,0.36333333333333334,0.22551581802980605,0.0,0.5121638924455826,0.1643835616438356,"{'C': 0.1, 'gamma': 0.1}"
20,2,AE Latent,Logistic Regression,0.35333333333333333,0.3536613247923528,0.34074074074074073,0.3532219570405728,0.3670212765957447,{'C': 0.1}
20,2,AE Latent,Random Forest,0.36,0.3587201103772915,0.38181818181818183,0.34951456310679613,0.3448275862068966,"{'max_depth': None, 'n_estimators': 100}"
20,2,AE Latent,SVM-RBF,0.36333333333333334,0.30935945904315315,0.4722662440570523,0.2914285714285714,0.1643835616438356,"{'C': 0.1, 'gamma': 0.1}"
20,2,PCA,Logistic Regression,0.3333333333333333,0.3325296678853553,0.36496350364963503,0.29765013054830286,0.33497536945812806,{'C': 10.0}
20,2,PCA,Random Forest,0.3516666666666667,0.3512554886859442,0.36674816625916873,0.3501199040767386,0.33689839572192515,"{'max_depth': 20, 'n_estimators': 100}"
20,2,PCA,SVM-RBF,0.35333333333333333,0.344611523773199,0.3969465648854962,0.22740524781341107,0.40948275862068967,"{'C': 10.0, 'gamma': 0.1}"
20,3,Raw RF,Logistic Regression,0.3466666666666667,0.3457503037301372,0.3133159268929504,0.3922518159806295,0.3316831683168317,{'C': 10.0}
20,3,Raw RF,Random Forest,0.32166666666666666,0.3209212416662312,0.32779097387173395,0.3235955056179775,0.31137724550898205,"{'max_depth': 10, 'n_estimators': 100}"
20,3,Raw RF,SVM-RBF,0.36333333333333334,0.226007301043081,0.009950248756218905,0.5128205128205128,0.1552511415525114,"{'C': 0.1, 'gamma': 0.1}"
20,3,AE Latent,Logistic Regression,0.33166666666666667,0.3318138651471985,0.3435897435897436,0.3308641975308642,0.32098765432098764,{'C': 1.0}
20,3,AE Latent,Random Forest,0.3616666666666667,0.3551748334300125,0.3644859813084112,0.4026258205689278,0.2984126984126984,"{'max_depth': 10, 'n_estimators': 100}"
20,3,AE Latent,SVM-RBF,0.36,0.22365591397849463,0.0,0.5109677419354839,0.16,"{'C': 0.1, 'gamma': 'scale'}"
20,3,PCA,Logistic Regression,0.31833333333333336,0.3178186416081153,0.29484029484029484,0.3492822966507177,0.30933333333333335,{'C': 10.0}
20,3,PCA,Random Forest,0.3566666666666667,0.3567279942279942,0.36363636363636365,0.3523809523809524,0.3541666666666667,"{'max_depth': 20, 'n_estimators': 100}"
20,3,PCA,SVM-RBF,0.3416666666666667,0.3379426828798065,0.2684931506849315,0.3917995444191344,0.35353535353535354,"{'C': 0.1, 'gamma': 0.1}"
20,4,Raw RF,Logistic Regression,0.35,0.3493267550718439,0.3220779220779221,0.3696682464454976,0.356234096692112,{'C': 0.1}
20,4,Raw RF,Random Forest,0.345,0.33820711945711945,0.3705357142857143,0.36486486486486486,0.2792207792207792,"{'max_depth': 20, 'n_estimators': 100}"
20,4,Raw RF,SVM-RBF,0.36333333333333334,0.33500296133877483,0.3165829145728643,0.4573502722323049,0.23107569721115537,"{'C': 1.0, 'gamma': 0.1}"
20,4,AE Latent,Logistic Regression,0.36333333333333334,0.3632831503630249,0.3299492385786802,0.36496350364963503,0.3949367088607595,{'C': 0.1}
20,4,AE Latent,Random Forest,0.36833333333333335,0.3629563210514965,0.35406698564593303,0.41201716738197425,0.3227848101265823,"{'max_depth': 10, 'n_estimators': 100}"
20,4,AE Latent,SVM-RBF,0.335,0.29884734485584746,0.3310344827586207,0.41025641025641024,0.1552511415525114,"{'C': 0.1, 'gamma': 0.1}"
20,4,PCA,Logistic Regression,0.3233333333333333,0.3229045566343631,0.3302325581395349,0.3076923076923077,0.33078880407124683,{'C': 0.1}
20,4,PCA,Random Forest,0.35,0.3493376267076686,0.29591836734693877,0.37270341207349084,0.3793911007025761,"{'max_depth': 10, 'n_estimators': 100}"
20,4,PCA,SVM-RBF,0.36666666666666664,0.3644107563280496,0.34183673469387754,0.3991228070175439,0.3522727272727273,"{'C': 0.1, 'gamma': 0.1}"
30,0,Raw RF,Logistic Regression,0.33166666666666667,0.330502376934892,0.3644859813084112,0.3185378590078329,0.30848329048843187,{'C': 1.0}
30,0,Raw RF,Random Forest,0.36,0.3557128877325922,0.36363636363636365,0.3900226757369615,0.31347962382445144,"{'max_depth': 10, 'n_estimators': 200}"
30,0,Raw RF,SVM-RBF,0.37166666666666665,0.2401911589008363,0.0,0.5161290322580645,0.20444444444444446,"{'C': 0.1, 'gamma': 0.1}"
30,0,AE Latent,Logistic Regression,0.3516666666666667,0.351763845274764,0.3382352941176471,0.3556701030927835,0.3613861386138614,{'C': 1.0}
30,0,AE Latent,Random Forest,0.37666666666666665,0.375872554213001,0.38388625592417064,0.38461538461538464,0.35911602209944754,"{'max_depth': None, 'n_estimators': 100}"
