snr,class,model,mse
5,2,V2,0.0034901616
5,2,V1,0.003463619
5,2,V2,0.0034901584
5,2,V1,0.003463619
5,2,V2,0.0034901546
5,2,V1,0.007969493
5,2,V2,0.008288536
5,2,V1,0.003463619
5,2,V2,0.003490162
5,2,V1,0.0034636168
5,2,V2,0.0034901593
5,2,V1,0.0034636194
5,2,V2,0.0034901607
5,2,V1,0.003463622
5,2,V2,0.0034901593
5,2,V1,0.0034636187
5,2,V2,0.003490159
5,2,V1,0.0034636185
5,2,V2,0.0034901565
5,2,V1,0.0034636175
5,2,V2,0.0034901553
5,2,V1,0.0034636166
5,2,V2,0.003490158
5,2,V1,0.009829888
5,2,V2,0.010616443
5,2,V1,0.0034636178
5,2,V2,0.0034901577
5,2,V1,0.0034636166
5,2,V2,0.0034901577
5,2,V1,0.0034636182
5,2,V2,0.0034901584
5,2,V1,0.003463619
5,2,V2,0.0034901593
5,2,V1,0.0034636185
5,2,V2,0.003490156
5,2,V1,0.0034636166
5,2,V2,0.0034901577
5,2,V1,0.0034636194
5,2,V2,0.0034901565
5,2,V1,0.0034636178
5,2,V2,0.00349016
5,2,V1,0.003463617
5,2,V2,0.003490158
5,2,V1,0.0034636187
5,2,V2,0.0034901567
5,2,V1,0.0034636175
5,2,V2,0.003490157
5,2,V1,0.0034636168
5,2,V2,0.0034901595
5,2,V1,0.008214211
5,2,V2,0.007834772
5,2,V1,0.013318433
5,2,V2,0.011881596
5,2,V1,0.0034636185
5,2,V2,0.0034901546
5,2,V1,0.0034636196
5,2,V2,0.0034901584
5,2,V1,0.003463618
5,2,V2,0.0034901602
5,2,V1,0.00346362
5,2,V2,0.0034901602
5,2,V1,0.0034636173
5,2,V2,0.0034901588
5,2,V1,0.0034636185
5,2,V2,0.0034901584
5,2,V1,0.0034636182
5,2,V2,0.0034901572
5,2,V1,0.0034636182
5,2,V2,0.0034901588
5,2,V1,0.003463618
5,2,V2,0.0034901565
5,2,V1,0.0034636164
5,2,V2,0.0034901588
5,2,V1,0.0034636196
5,2,V2,0.0034901607
5,2,V1,0.0034636196
5,2,V2,0.003490156
5,2,V1,0.0034636173
5,2,V2,0.0034901574
5,2,V1,0.0034636182
5,2,V2,0.0034901598
5,2,V1,0.0034636187
5,2,V2,0.003490157
5,2,V1,0.003463618
5,2,V2,0.0034901605
5,2,V1,0.003463619
5,2,V2,0.0034901602
5,2,V1,0.003463619
5,2,V2,0.0034901586
5,2,V1,0.008134164
5,2,V2,0.008409205
5,2,V1,0.0034636192
5,2,V2,0.0034901577
5,2,V1,0.0034636194
5,2,V2,0.003490158
5,2,V1,0.003463617
5,2,V2,0.0034901574
5,2,V1,0.0034636182
5,2,V2,0.003490159
5,2,V1,0.003463617
5,2,V2,0.003490156
5,2,V1,0.0034636175
5,2,V2,0.0034901574
5,2,V1,0.0034636187
5,2,V2,0.0034901574
5,2,V1,0.003463619
5,2,V2,0.0034901584
5,2,V1,0.003463618
5,2,V2,0.003490159
5,2,V1,0.003463618
5,2,V2,0.0034901598
5,2,V1,0.0034636196
5,2,V2,0.003490154
5,2,V1,0.0034636175
5,2,V2,0.0034901542
5,2,V1,0.0034636187
5,2,V2,0.0034901607
5,2,V1,0.0034636194
5,2,V2,0.003490158
5,2,V1,0.0034636182
5,2,V2,0.0034901612
5,2,V1,0.0034636185
5,2,V2,0.0034901605
5,2,V1,0.003463619
5,2,V2,0.0034901572
5,2,V1,0.003463618
5,2,V2,0.0034901584
5,2,V1,0.003463619
5,2,V2,0.0034901565
5,2,V1,0.0034636166
5,2,V2,0.0034901525
5,2,V1,0.0034636166
5,2,V2,0.0034901556
5,2,V1,0.0034636175
5,2,V2,0.003490158
5,2,V1,0.008465005
5,2,V2,0.008045721
5,2,V1,0.0034636185
5,2,V2,0.0034901588
5,2,V1,0.0034636182
5,2,V2,0.0034901588
5,2,V1,0.003463618
5,2,V2,0.0034901577
5,2,V1,0.0034636199
5,2,V2,0.0034901602
5,2,V1,0.003463618
5,2,V2,0.0034901563
5,2,V1,0.0034636192
5,2,V2,0.003490158
5,2,V1,0.0034636166
5,2,V2,0.0034901595
5,2,V1,0.016496345
5,2,V2,0.015274563
5,2,V1,0.0034636194
5,2,V2,0.0034901565
5,2,V1,0.003463619
5,2,V2,0.0034901581
5,2,V1,0.003463619
5,2,V2,0.003490156
10,0,V1,0.003463619
10,0,V2,0.0034901595
10,0,V1,0.0034636203
10,0,V2,0.0034901593
10,0,V1,0.0034636196
10,0,V2,0.003490156
10,0,V1,0.0034636192
10,0,V2,0.0034901588
10,0,V1,0.0034636196
10,0,V2,0.0034901588
10,0,V1,0.0034636194
10,0,V2,0.0034901612
10,0,V1,0.0034636208
10,0,V2,0.003490158
10,0,V1,0.0034636196
10,0,V2,0.003490158
10,0,V1,0.0034636194
10,0,V2,0.003490159
10,0,V1,0.0034636194
10,0,V2,0.0034901586
10,0,V1,0.003463619
10,0,V2,0.003490156
10,0,V1,0.0034636199
10,0,V2,0.0034901577
10,0,V1,0.0034636192
10,0,V2,0.003490157
10,0,V1,0.0034636196
10,0,V2,0.0034901607
10,0,V1,0.0034636203
10,0,V2,0.003490158
10,0,V1,0.0034636185
10,0,V2,0.0034901586
10,0,V1,0.0034636203
10,0,V2,0.003490158
10,0,V1,0.0034636203
10,0,V2,0.0034901602
10,0,V1,0.0034636196
10,0,V2,0.0034901595
10,0,V1,0.0034636196
10,0,V2,0.003490159
10,0,V1,0.0034636194
10,0,V2,0.0034901574
10,0,V1,0.0034636206
10,0,V2,0.0034901593
10,0,V1,0.0034636199
10,0,V2,0.0034901593
10,0,V1,0.0034636199
10,0,V2,0.0034901593
10,0,V1,0.00346362
10,0,V2,0.003490158
10,0,V1,0.0034636196
10,0,V2,0.003490158
10,0,V1,0.0034636192
10,0,V2,0.0034901584
10,0,V1,0.0034636194
10,0,V2,0.00349016
10,0,V1,0.003463619
10,0,V2,0.0034901584
10,0,V1,0.0034636196
10,0,V2,0.0034901581
10,0,V1,0.003463619
10,0,V2,0.0034901584
10,0,V1,0.003463619
10,0,V2,0.0034901593
10,0,V1,0.003463618
10,0,V2,0.003490157
10,0,V1,0.0034636203
10,0,V2,0.0034901598
